player_id,season,player_name,leaf_rating,leaf_uncertainty,games_played,attempts,raw_epa
00-0028064,2019,B.Powell,0.5693861690584174,0.10624169930569174,2,1.0,-0.5224095
00-0028090,2011,T.Yates,-0.12773258721673575,0.17420680977430306,8,206.0,0.023776308
00-0028090,2012,T.Yates,-0.29606586704158855,0.15151317759605903,11,11.0,-0.760024
00-0028090,2013,T.Yates,-0.29158438590231817,0.14139846155997599,13,24.0,-0.32601443
00-0028090,2014,T.Yates,-0.2761928310078222,0.13730384276046675,14,4.0,0.053817958
00-0028090,2015,T.Yates,-0.2952641986570999,0.12521318919736393,18,62.0,-0.20166942
00-0028090,2017,T.Yates,-0.3019026380748629,0.11754250380044647,22,111.0,-0.2691311
00-0028091,2011,J.Kerley,2.6655736651234396,0.14916330304908842,1,1.0,2.9375117
00-0028091,2012,J.Kerley,2.515569484965037,0.10624169930569174,2,1.0,2.322969
00-0028091,2013,J.Kerley,1.0460070025961636,0.08770330050745664,3,1.0,-1.8386744
00-0028091,2014,J.Kerley,0.4039225581935104,0.07714586868743051,4,1.0,-1.3206104
00-0028118,2011,T.Taylor,-0.0009911238838871514,0.45510607918236234,1,3.0,-0.13374941
00-0028118,2012,T.Taylor,-0.27730126001956173,0.27527634737533785,4,32.0,-0.17556655
00-0028118,2013,T.Taylor,-0.6684605601525874,0.23190637558251384,6,5.0,-1.4420583
00-0028118,2015,T.Taylor,-0.13300489048361905,0.14420586636822597,20,418.0,0.16593412
00-0028118,2016,T.Taylor,-0.07492864245746153,0.12642980150870883,35,479.0,0.06612771
00-0028118,2017,T.Taylor,-0.1027410544553679,0.12163901803127043,51,505.0,-0.029710472
00-0028118,2018,T.Taylor,-0.00698536725324736,0.12116195937268436,55,98.0,0.39355612
00-0028118,2019,T.Taylor,0.043259843069662574,0.12097719570636803,57,6.0,0.8111648
00-0028118,2020,T.Taylor,0.029280833923694877,0.12089579791510023,58,32.0,-0.00597604
00-0028118,2021,Ty.Taylor,-0.01358194990162749,0.12052764235647509,64,163.0,-0.030343795
00-0028118,2022,T.Taylor,-0.033951612071097904,0.12044059182065497,66,12.0,-0.2657355
00-0028118,2023,T.Taylor,-0.07951132063255081,0.12016925468788156,76,198.0,-0.14312997
00-0028118,2024,T.Taylor,-0.038278085961334585,0.12013722486385796,78,25.0,0.40073794
