season,week,player_id,player_name,position,sacks,qb_hits,tfls,forced_fumbles,total_tackles,pressures,impact_plays,epa_against,raw_composite,career_game_number,smoothed_composite,composite_uncertainty
2020,1,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8707879185676575,-0.4282720124316154,1,-0.4282720124316154,
2020,2,00-0027686,Corey Peters,DL,1.0,1.0,0.0,0.0,3.0,2.0,1.0,0.8491437934339047,0.7240659781862366,2,-0.1721969034054261,
2020,3,00-0027686,Corey Peters,DL,1.0,1.0,0.0,0.0,4.0,2.0,1.0,0.8261931712428728,0.7187840329222585,3,0.02579886022294825,0.6637831366179053
2020,4,00-0027686,Corey Peters,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0746783018112183,-0.3834524594409539,4,-0.06514587748014111,0.6511003175306042
2020,5,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09164498001337051,-0.60758699221752,5,-0.18568834742178086,0.6596260062541321
2020,6,00-0027686,Corey Peters,DL,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.29084378480911255,-0.16658967696337365,6,-0.18144419843102372,0.5941175306823713
2020,7,00-0027686,Corey Peters,DL,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-0.5184469670057297,-0.25543922127697427,7,-0.19788753684123495,0.5493713170886514
2020,9,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5867137834429741,-0.493649936400353,8,-0.26361251452103895,0.5315394051367385
2020,10,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.752889096736908,-0.8019513423353286,9,-0.38324336514643664,0.5478904176018319
2021,1,00-0027686,Corey Peters,DL,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.9234603643417358,0.14588616245216235,10,-0.2656590256800813,0.5272510441482466
2021,2,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1379082053899765,-0.6176132406854571,11,-0.3438710734590537,0.5413726725652002
2021,3,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5476393699645996,-0.5224614710591406,12,-0.38355782848129527,0.4469514993677654
2021,10,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.5008561909198761,-0.7659533425331373,13,-0.46853460938170466,0.29085449431830523
2021,11,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.15241437032818794,-0.685034782492591,14,-0.5166457589619016,0.2990662867210383
2021,13,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2862185835838318,-0.5831711572922047,15,-0.5314291808130801,0.29797976379584795
2021,14,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.23771712183952332,-0.5944346400668803,16,-0.5454303939805913,0.2789492564541882
2021,15,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.21327832341194153,-0.6001100563373011,17,-0.5575814300598602,0.2638737277483349
2021,16,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5387352108955383,-0.5245292817743323,18,-0.5502365082186318,0.2632970348094866
2021,17,00-0027686,Corey Peters,DL,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.2875390251477559,-0.06009934514166641,19,-0.44131713864597283,0.2892023907442018
2021,18,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05143103748559952,-0.6376958125516129,20,-0.48495684395833727,0.18953097865070248
2021,19,00-0027686,Corey Peters,DL,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8718522389729818,0.35604111874839955,21,-0.29806840780128463,0.3436046171143624
2022,5,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.17033708095550537,-0.5713276981070734,22,-0.35879269453590434,0.34490905326040977
2022,6,00-0027686,Corey Peters,DL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.34518271684646606,-0.06255800944500733,23,-0.292962764515705,0.34878608785565723
2022,7,00-0027686,Corey Peters,DL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6882790923118591,-0.4685083285740975,24,-0.33197288986201445,0.3353306882517861
2022,9,00-0027686,Corey Peters,DL,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.46897558867931366,-0.24812743963231787,25,-0.3133405675887485,0.32885564791536465
